objectid,district,shape_st_area,shape_st_length,created_user,created_date,last_edited_user,last_edited_date,population,district_cpd,placename,category,2015,2016,2017,2018,total19,total20,total21,total22,2023,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
7210,117,164950530.96148637,85642.31932851662,GIS,1667323453000,GIS,1667323453000,24000,CPDS,"Bond Park, Park Village, Brookstone and Parkway Pointe",Larceny,88,100,96,101,75,67,96,65,1,66,238,79.3,28,-12,-31.2,-17,312.5,279.2,400,275,330.4
7214,111,232135521.46403223,259080.19435952336,GIS,1667323453000,GIS,1667323453000,14000,CPDN,"Harrison Park, Northwoods and Weston Parkway",Larceny,140,120,157,145,121,175,164,161,5,157,460,153.3,35.5,29.8,-4.3,2,864.3,1250,1171.4,1121.4,1095
7215,122,236126387.25935683,269233.07073789317,GIS,1667323453000,GIS,1667323453000,23000,CPDN,"Cary Park Town Center, Southwest Cary and Cary Park",Larceny,64,50,63,47,58,54,86,93,4,96,198,66,48.3,65.5,11.6,45,252.2,234.8,373.9,417.4,287
7217,121,153498558.5423196,145652.9093462839,GIS,1667323453000,GIS,1667323453000,18000,CPDN,"Carpenter Village, Preston and Green Hope HS",Larceny,72,47,74,50,44,60,91,92,1,92,195,65,106.8,109.1,1.1,42,244.4,333.3,505.6,511.1,361.1
7218,120,70684922.56457101,38277.52157557604,GIS,1667323453000,GIS,1667323453000,7000,CPDS,"Cary Towne Center, Cary Village Square and Chatham Square",Larceny,268,232,193,218,176,81,65,65,1,63,322,107.3,-63.1,-64.2,-3.1,-41,2514.3,1157.1,928.6,900,1532.9
7219,118,126501895.88297781,96958.1343753846,GIS,1667323453000,GIS,1667323453000,11000,CPDS,"Southeast Cary, Walnut Plaza and Crossroads",Larceny,272,226,190,191,198,209,206,171,7,171,613,204.3,4,-13.6,-17,-16,1800,1900,1872.7,1554.5,1857.3
7222,119,136936956.09491783,150601.04170642185,GIS,1667323453000,GIS,1667323453000,19000,CPDN,"Carolina Preserve, Cary Park and Panther Creek HS",Larceny,96,74,137,92,149,163,158,97,2,96,470,156.7,6,-35.6,-39.2,-39,784.2,857.9,831.6,505.3,824.7
7223,115,138318320.2306666,58744.41968620181,GIS,1667323453000,GIS,1667323453000,14000,CPDS,"Central Cary, Ashley Village, Scottish Hills and MacGregor Downs",Larceny,87,73,82,80,55,64,72,58,2,58,191,63.7,30.9,5.5,-19.4,-9,392.9,457.1,514.3,414.3,455
7225,113,61641277.27073684,89545.54325973522,GIS,1667323453000,GIS,1667323453000,8000,CPDN,"Central Cary, Town Hall Campus and Harrison Pointe Shopping Center",Larceny,60,75,58,69,53,82,81,75,1,73,216,72,52.8,37.7,-9.9,1,662.5,1025,1012.5,912.5,900
7227,116,220165713.03288692,265668.4216562956,GIS,1667323453000,GIS,1667323453000,15000,CPDS,"Regency Park, Waverly Place, MacGregor Park and Crescent Commons",Larceny,143,149,163,207,175,168,164,114,3,116,507,169,-6.3,-33.7,-29.3,-31,1166.7,1120,1093.3,773.3,1126.7
7229,112,71840612.62404658,46671.97848203181,GIS,1667323453000,GIS,1667323453000,8000,CPDS,"Southeast Cary, South Hills Shopping Center and Aurella",Larceny,106,89,80,64,78,114,111,71,2,68,303,101,42.3,-12.8,-38.7,-33,975,1425,1387.5,850,1262.5
7232,114,90277126.29940057,53902.22708201789,GIS,1667323453000,GIS,1667323453000,12000,CPDN,"Maynard Loop, Maynard Crossing and Weatherfield Industrial Park",Larceny,114,106,117,65,63,89,86,58,1,56,238,79.3,36.5,-11.1,-34.9,-29,525,741.7,716.7,466.7,660.8
